1,unidad,cebolla
1,cucharada,aceite de oliva
2,unidad,tomate
1/2,cucharadita,comino
1/2,cucharadita,ajo
1/2,cucharadita,merquen
1,cucharadita,sal
1/2,cucharadita,pimienta negra
1/2,cucharadita,pimiento ahumado
2,taza,agua
1/2,taza,salsa tomates)
2,cucharadita,almidon de maiz
2,taza,pollo
1,taza,porotos negros
1,taza,choclo
3,cucharada,crema acida
2,cucharada,queso crema
2,unidad,cebollin
1,taza,queso cheddar
x,unidad,sal
x,unidad,pimienta negra
x,unidad,oregano
12,unidad,tortilla de maiz
1,cucharada,cilantro
