1,grande,cebolla morada
1/2,cucharadita,aceite de oliva
1/2,cucharadita,mantequilla
1,cucharadita,azucar
500,g,carne
1,cucharadita,ajo en polvo
1/2,cucharadita,sal
1/4,cucharadita,pimienta negra
1/2,cucharada,cebolla en polvo
2,cucharada,salsa inglesa
2,cucharada,aceite de oliva
1,unidad,cebolla
1/2,taza,harina de maiz
1,cucharadita,polvo de hornear
1,cucharada,aji color
1/2,cucharadita,sal
1,taza,leche
1,unidad,huevo
1/2,cucharadita,sal
1,taza,pan rallado
x,unidad,aceite
4,unidad,pan de hamburguesa
1 1/2,taza,rucula
4,cucharada,mayonesa
