300,g,acelga
500,ml,leche
2,unidad,huevo
200,g,harina de maiz
1,cucharadita,aceite
1/2,cucharadita,sal
1/4,cucharadita,pimienta negra
820,g,tomate
1,cucharada,aceite de oliva
1,taza,vino blanco
2,hoja,laurel
1,cucharadita,oregano
1/2,cucharadita,tomillo
1/2,cucharadita,perejil
1/2,cucharadita,ajo en polvo
1,cucharadita,cebolla en polvo
1/2,cucharadita,pimienta negra
x,unidad,sal
700,g,acelga
1,unidad,cebolla
1/2,cucharadita,ajo en polvo
1/2,cucharadita,aji color
1,cucharadita,oregano
400,g,champinon
500,g,queso ricotta
1/2,taza,queso parmesano
