4,grande,tomate
2,cucharada,concentrado de tomate
1,unidad,aji verde
1/2,unidad,cebolla
1,taza,agua
1,cucharadita,vinagre de manzana
1/3,cucharadita,comino
1/3,cucharadita,pimienta negra
1/2,cucharadita,ajo en polvo
1,cucharadita,oregano
x,unidad,sal
1,cucharada,aceite de oliva
3,unidad,cebollin
1/2,cucharadita,comino
1,cucharadita,oregano
1,taza,pechuga de pollo
1/2,taza,crema acida
1,taza,queso cheddar
500,g,harina de maiz
1,cucharadita,polvo de hornear
250,g,mantequilla
1 1/2,taza,caldo de ave
