Poner en un recipiente chico la levadura desgranada, el azúcar y el agua tibia.
Mezclar hasta que la levadura esté disuelta. Tapar el recipiente.
Aparte, poner en un bol el azúcar, la manteca y la leche caliente mezclando para que la manteca se derrita y el azúcar se incorpore.  Dejar entibiar y agregar el Anís Semilla, la Esencia de Anís Gourmet, los huevos bien mezclados y la levadura.
Por último incorporar la harina junto con la sal, al mismo tiempo que se va revolviendo fuertemente con una cuchara de madera hasta que el líquido sea absorbido por la harina.
Espolvorear la mesa y la masa con harina para poder trabajarla sin que se pegue.  Cada vez que se necesite se le incorpora harina pero en poca cantidad para que la masa no absorba demasiado y quede dura. Apoyar una de las manos en el borde inferior de la masa y con la otra ir estirándola y replegándola varias veces seguidas.
Luego girar la masa 90º y continuar con estos movimientos hasta que la masa se torne lisa, elástica y no esté más pegajosa.
Formar un bollo alisándolo bien con las manos. Colocar el bollo en un recipiente que tenga capacidad como para que la masa duplique su tamaño cómodamente. Cubrir el recipiente con papel film (nailon, plástico) y luego con un paño. Esto ayudará a que la masa se relaje más rápidamente. Este proceso puede llevar aproximadamente 30 minutos.
Una vez levada la masa, volcarla sobre la mesa ligeramente aceitada y proceder a desgasificar haciéndole unos movimientos de amasado para quitarle todo el aire y que vuelva a su forma inicial.
Formar un cilindro con ella, haciéndola girar sobre la mesa. Cortarla en porciones iguales como para formar panes chicos (del tamaño que nos agrade). Formar pelotitas con los panes y acomodarlos en una placa limpia y con suficiente espacio entre ellos.
Cubrirlos con un paño y colocar la placa sobre la cocina. Dejar en reposo durante 10 minutos aprox. o hasta que las piezas estén levadas. Antes de cocinarlos se pintan con huevo y se cubren con semillas de anís.
Llevar a un horno bien caliente (200º) para que estas piezas chicas leven y se cocinen rápidamente. El tiempo de cocción es entre 12 y 15 minutos dependiendo del horno.  Una vez cocidas, retirar y apoyar sobre una rejilla.
